id;imagen;imagen_content_type;fecha_puesta
1;../fake-data/blob/hipster.png;image/png;2021-06-05T09:35:56
2;../fake-data/blob/hipster.png;image/png;2021-06-04T23:35:54
3;../fake-data/blob/hipster.png;image/png;2021-06-05T10:36:33
4;../fake-data/blob/hipster.png;image/png;2021-06-05T08:17:36
5;../fake-data/blob/hipster.png;image/png;2021-06-04T15:34:15
6;../fake-data/blob/hipster.png;image/png;2021-06-05T07:15:01
7;../fake-data/blob/hipster.png;image/png;2021-06-05T10:00:06
8;../fake-data/blob/hipster.png;image/png;2021-06-05T07:44:45
9;../fake-data/blob/hipster.png;image/png;2021-06-04T15:40:36
10;../fake-data/blob/hipster.png;image/png;2021-06-04T23:38:45
